Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
04/09/2008,21:00,"Dortmund Square	",159,Thursday,36,September,2008
04/09/2008,22:00,"Dortmund Square	",112,Thursday,36,September,2008
04/09/2008,23:00,"Dortmund Square	",78,Thursday,36,September,2008
05/09/2008,00:00,"Dortmund Square	",29,Friday,36,September,2008
05/09/2008,01:00,"Dortmund Square	",45,Friday,36,September,2008
05/09/2008,02:00,"Dortmund Square	",33,Friday,36,September,2008
05/09/2008,03:00,"Dortmund Square	",56,Friday,36,September,2008
05/09/2008,04:00,"Dortmund Square	",25,Friday,36,September,2008
05/09/2008,05:00,"Dortmund Square	",85,Friday,36,September,2008
05/09/2008,06:00,"Dortmund Square	",54,Friday,36,September,2008
05/09/2008,07:00,"Dortmund Square	",175,Friday,36,September,2008
05/09/2008,08:00,"Dortmund Square	",351,Friday,36,September,2008
05/09/2008,09:00,"Dortmund Square	",498,Friday,36,September,2008
05/09/2008,10:00,"Dortmund Square	",706,Friday,36,September,2008
05/09/2008,11:00,"Dortmund Square	",846,Friday,36,September,2008
05/09/2008,12:00,"Dortmund Square	",1067,Friday,36,September,2008
05/09/2008,13:00,"Dortmund Square	",1143,Friday,36,September,2008
05/09/2008,14:00,"Dortmund Square	",1088,Friday,36,September,2008
05/09/2008,15:00,"Dortmund Square	",914,Friday,36,September,2008
05/09/2008,16:00,"Dortmund Square	",993,Friday,36,September,2008
05/09/2008,17:00,"Dortmund Square	",863,Friday,36,September,2008
05/09/2008,18:00,"Dortmund Square	",378,Friday,36,September,2008
05/09/2008,19:00,"Dortmund Square	",184,Friday,36,September,2008
05/09/2008,20:00,"Dortmund Square	",172,Friday,36,September,2008
05/09/2008,21:00,"Dortmund Square	",181,Friday,36,September,2008
05/09/2008,22:00,"Dortmund Square	",264,Friday,36,September,2008
05/09/2008,23:00,"Dortmund Square	",157,Friday,36,September,2008
06/09/2008,00:00,"Dortmund Square	",84,Saturday,36,September,2008
06/09/2008,01:00,"Dortmund Square	",49,Saturday,36,September,2008
06/09/2008,02:00,"Dortmund Square	",45,Saturday,36,September,2008
06/09/2008,03:00,"Dortmund Square	",32,Saturday,36,September,2008
06/09/2008,04:00,"Dortmund Square	",12,Saturday,36,September,2008
06/09/2008,05:00,"Dortmund Square	",343,Saturday,36,September,2008
06/09/2008,06:00,"Dortmund Square	",30,Saturday,36,September,2008
06/09/2008,07:00,"Dortmund Square	",45,Saturday,36,September,2008
06/09/2008,08:00,"Dortmund Square	",156,Saturday,36,September,2008
06/09/2008,09:00,"Dortmund Square	",431,Saturday,36,September,2008
06/09/2008,10:00,"Dortmund Square	",796,Saturday,36,September,2008
06/09/2008,11:00,"Dortmund Square	",1031,Saturday,36,September,2008
06/09/2008,12:00,"Dortmund Square	",1458,Saturday,36,September,2008
06/09/2008,13:00,"Dortmund Square	",1512,Saturday,36,September,2008
06/09/2008,14:00,"Dortmund Square	",1618,Saturday,36,September,2008
06/09/2008,15:00,"Dortmund Square	",1372,Saturday,36,September,2008
06/09/2008,16:00,"Dortmund Square	",1119,Saturday,36,September,2008
06/09/2008,17:00,"Dortmund Square	",779,Saturday,36,September,2008
06/09/2008,18:00,"Dortmund Square	",410,Saturday,36,September,2008
06/09/2008,19:00,"Dortmund Square	",298,Saturday,36,September,2008
06/09/2008,20:00,"Dortmund Square	",313,Saturday,36,September,2008
06/09/2008,21:00,"Dortmund Square	",338,Saturday,36,September,2008
06/09/2008,22:00,"Dortmund Square	",293,Saturday,36,September,2008
06/09/2008,23:00,"Dortmund Square	",304,Saturday,36,September,2008
07/09/2008,00:00,"Dortmund Square	",245,Sunday,36,September,2008
07/09/2008,01:00,"Dortmund Square	",129,Sunday,36,September,2008
07/09/2008,02:00,"Dortmund Square	",111,Sunday,36,September,2008
07/09/2008,03:00,"Dortmund Square	",99,Sunday,36,September,2008
07/09/2008,04:00,"Dortmund Square	",42,Sunday,36,September,2008
07/09/2008,05:00,"Dortmund Square	",17,Sunday,36,September,2008
07/09/2008,06:00,"Dortmund Square	",20,Sunday,36,September,2008
07/09/2008,07:00,"Dortmund Square	",32,Sunday,36,September,2008
07/09/2008,08:00,"Dortmund Square	",63,Sunday,36,September,2008
07/09/2008,09:00,"Dortmund Square	",183,Sunday,36,September,2008
07/09/2008,10:00,"Dortmund Square	",278,Sunday,36,September,2008
07/09/2008,11:00,"Dortmund Square	",509,Sunday,36,September,2008
07/09/2008,12:00,"Dortmund Square	",851,Sunday,36,September,2008
07/09/2008,13:00,"Dortmund Square	",945,Sunday,36,September,2008
07/09/2008,14:00,"Dortmund Square	",1017,Sunday,36,September,2008
07/09/2008,15:00,"Dortmund Square	",841,Sunday,36,September,2008
07/09/2008,16:00,"Dortmund Square	",581,Sunday,36,September,2008
07/09/2008,17:00,"Dortmund Square	",343,Sunday,36,September,2008
07/09/2008,18:00,"Dortmund Square	",195,Sunday,36,September,2008
07/09/2008,19:00,"Dortmund Square	",146,Sunday,36,September,2008
07/09/2008,20:00,"Dortmund Square	",114,Sunday,36,September,2008
07/09/2008,21:00,"Dortmund Square	",89,Sunday,36,September,2008
07/09/2008,22:00,"Dortmund Square	",69,Sunday,36,September,2008
07/09/2008,23:00,"Dortmund Square	",24,Sunday,36,September,2008
08/09/2008,00:00,"Dortmund Square	",12,Monday,37,September,2008
08/09/2008,01:00,"Dortmund Square	",9,Monday,37,September,2008
08/09/2008,02:00,"Dortmund Square	",6,Monday,37,September,2008
08/09/2008,03:00,"Dortmund Square	",0,Monday,37,September,2008
08/09/2008,04:00,"Dortmund Square	",4,Monday,37,September,2008
08/09/2008,05:00,"Dortmund Square	",14,Monday,37,September,2008
08/09/2008,06:00,"Dortmund Square	",44,Monday,37,September,2008
08/09/2008,07:00,"Dortmund Square	",122,Monday,37,September,2008
08/09/2008,08:00,"Dortmund Square	",284,Monday,37,September,2008
08/09/2008,09:00,"Dortmund Square	",433,Monday,37,September,2008
08/09/2008,10:00,"Dortmund Square	",725,Monday,37,September,2008
08/09/2008,11:00,"Dortmund Square	",949,Monday,37,September,2008
08/09/2008,12:00,"Dortmund Square	",1343,Monday,37,September,2008
08/09/2008,13:00,"Dortmund Square	",1189,Monday,37,September,2008
08/09/2008,14:00,"Dortmund Square	",1171,Monday,37,September,2008
08/09/2008,15:00,"Dortmund Square	",1071,Monday,37,September,2008
08/09/2008,16:00,"Dortmund Square	",1110,Monday,37,September,2008
08/09/2008,17:00,"Dortmund Square	",881,Monday,37,September,2008
08/09/2008,18:00,"Dortmund Square	",408,Monday,37,September,2008
08/09/2008,19:00,"Dortmund Square	",217,Monday,37,September,2008
08/09/2008,20:00,"Dortmund Square	",205,Monday,37,September,2008
08/09/2008,21:00,"Dortmund Square	",132,Monday,37,September,2008
08/09/2008,22:00,"Dortmund Square	",88,Monday,37,September,2008
08/09/2008,23:00,"Dortmund Square	",47,Monday,37,September,2008
09/09/2008,00:00,"Dortmund Square	",18,Tuesday,37,September,2008
09/09/2008,01:00,"Dortmund Square	",9,Tuesday,37,September,2008
09/09/2008,02:00,"Dortmund Square	",9,Tuesday,37,September,2008
09/09/2008,03:00,"Dortmund Square	",2,Tuesday,37,September,2008
09/09/2008,04:00,"Dortmund Square	",3,Tuesday,37,September,2008
09/09/2008,05:00,"Dortmund Square	",12,Tuesday,37,September,2008
09/09/2008,06:00,"Dortmund Square	",64,Tuesday,37,September,2008
09/09/2008,07:00,"Dortmund Square	",122,Tuesday,37,September,2008
09/09/2008,08:00,"Dortmund Square	",299,Tuesday,37,September,2008
09/09/2008,09:00,"Dortmund Square	",405,Tuesday,37,September,2008
09/09/2008,10:00,"Dortmund Square	",623,Tuesday,37,September,2008
09/09/2008,11:00,"Dortmund Square	",782,Tuesday,37,September,2008
09/09/2008,12:00,"Dortmund Square	",875,Tuesday,37,September,2008
09/09/2008,13:00,"Dortmund Square	",616,Tuesday,37,September,2008
09/09/2008,14:00,"Dortmund Square	",599,Tuesday,37,September,2008
09/09/2008,15:00,"Dortmund Square	",930,Tuesday,37,September,2008
09/09/2008,16:00,"Dortmund Square	",1081,Tuesday,37,September,2008
09/09/2008,17:00,"Dortmund Square	",763,Tuesday,37,September,2008
09/09/2008,18:00,"Dortmund Square	",375,Tuesday,37,September,2008
09/09/2008,19:00,"Dortmund Square	",233,Tuesday,37,September,2008
09/09/2008,20:00,"Dortmund Square	",333,Tuesday,37,September,2008
09/09/2008,21:00,"Dortmund Square	",145,Tuesday,37,September,2008
09/09/2008,22:00,"Dortmund Square	",112,Tuesday,37,September,2008
09/09/2008,23:00,"Dortmund Square	",51,Tuesday,37,September,2008
10/09/2008,00:00,"Dortmund Square	",38,Wednesday,37,September,2008
10/09/2008,01:00,"Dortmund Square	",15,Wednesday,37,September,2008
10/09/2008,02:00,"Dortmund Square	",15,Wednesday,37,September,2008
10/09/2008,03:00,"Dortmund Square	",6,Wednesday,37,September,2008
10/09/2008,04:00,"Dortmund Square	",4,Wednesday,37,September,2008
10/09/2008,05:00,"Dortmund Square	",17,Wednesday,37,September,2008
10/09/2008,06:00,"Dortmund Square	",52,Wednesday,37,September,2008
10/09/2008,07:00,"Dortmund Square	",122,Wednesday,37,September,2008
10/09/2008,08:00,"Dortmund Square	",237,Wednesday,37,September,2008
10/09/2008,09:00,"Dortmund Square	",842,Wednesday,37,September,2008
10/09/2008,10:00,"Dortmund Square	",715,Wednesday,37,September,2008
10/09/2008,11:00,"Dortmund Square	",899,Wednesday,37,September,2008
10/09/2008,12:00,"Dortmund Square	",1223,Wednesday,37,September,2008
10/09/2008,13:00,"Dortmund Square	",1188,Wednesday,37,September,2008
10/09/2008,14:00,"Dortmund Square	",971,Wednesday,37,September,2008
10/09/2008,15:00,"Dortmund Square	",1191,Wednesday,37,September,2008
10/09/2008,16:00,"Dortmund Square	",1077,Wednesday,37,September,2008
10/09/2008,17:00,"Dortmund Square	",854,Wednesday,37,September,2008
10/09/2008,18:00,"Dortmund Square	",422,Wednesday,37,September,2008
10/09/2008,19:00,"Dortmund Square	",290,Wednesday,37,September,2008
10/09/2008,20:00,"Dortmund Square	",241,Wednesday,37,September,2008
10/09/2008,21:00,"Dortmund Square	",203,Wednesday,37,September,2008
10/09/2008,22:00,"Dortmund Square	",161,Wednesday,37,September,2008
10/09/2008,23:00,"Dortmund Square	",57,Wednesday,37,September,2008
11/09/2008,00:00,"Dortmund Square	",30,Thursday,37,September,2008
11/09/2008,01:00,"Dortmund Square	",6,Thursday,37,September,2008
11/09/2008,02:00,"Dortmund Square	",14,Thursday,37,September,2008
11/09/2008,03:00,"Dortmund Square	",12,Thursday,37,September,2008
11/09/2008,04:00,"Dortmund Square	",50,Thursday,37,September,2008
11/09/2008,05:00,"Dortmund Square	",370,Thursday,37,September,2008
11/09/2008,06:00,"Dortmund Square	",50,Thursday,37,September,2008
11/09/2008,07:00,"Dortmund Square	",148,Thursday,37,September,2008
11/09/2008,08:00,"Dortmund Square	",399,Thursday,37,September,2008
11/09/2008,09:00,"Dortmund Square	",421,Thursday,37,September,2008
11/09/2008,10:00,"Dortmund Square	",648,Thursday,37,September,2008
11/09/2008,11:00,"Dortmund Square	",843,Thursday,37,September,2008
11/09/2008,12:00,"Dortmund Square	",1269,Thursday,37,September,2008
11/09/2008,13:00,"Dortmund Square	",1301,Thursday,37,September,2008
11/09/2008,14:00,"Dortmund Square	",1227,Thursday,37,September,2008
11/09/2008,15:00,"Dortmund Square	",1135,Thursday,37,September,2008
11/09/2008,16:00,"Dortmund Square	",1187,Thursday,37,September,2008
11/09/2008,17:00,"Dortmund Square	",851,Thursday,37,September,2008
11/09/2008,18:00,"Dortmund Square	",367,Thursday,37,September,2008
11/09/2008,19:00,"Dortmund Square	",290,Thursday,37,September,2008
11/09/2008,20:00,"Dortmund Square	",238,Thursday,37,September,2008
11/09/2008,21:00,"Dortmund Square	",195,Thursday,37,September,2008
11/09/2008,22:00,"Dortmund Square	",131,Thursday,37,September,2008
11/09/2008,23:00,"Dortmund Square	",58,Thursday,37,September,2008
12/09/2008,00:00,"Dortmund Square	",52,Friday,37,September,2008
12/09/2008,01:00,"Dortmund Square	",37,Friday,37,September,2008
12/09/2008,02:00,"Dortmund Square	",40,Friday,37,September,2008
12/09/2008,03:00,"Dortmund Square	",42,Friday,37,September,2008
12/09/2008,04:00,"Dortmund Square	",10,Friday,37,September,2008
12/09/2008,05:00,"Dortmund Square	",49,Friday,37,September,2008
12/09/2008,06:00,"Dortmund Square	",53,Friday,37,September,2008
12/09/2008,07:00,"Dortmund Square	",105,Friday,37,September,2008
12/09/2008,08:00,"Dortmund Square	",285,Friday,37,September,2008
