Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
06/07/2008,07:00,"Briggate at McDonalds	",54,Sunday,27,June,2008
06/07/2008,08:00,"Briggate at McDonalds	",142,Sunday,27,June,2008
06/07/2008,09:00,"Briggate at McDonalds	",191,Sunday,27,June,2008
06/07/2008,10:00,"Briggate at McDonalds	",379,Sunday,27,June,2008
06/07/2008,11:00,"Briggate at McDonalds	",715,Sunday,27,June,2008
06/07/2008,12:00,"Briggate at McDonalds	",1169,Sunday,27,June,2008
06/07/2008,13:00,"Briggate at McDonalds	",1377,Sunday,27,June,2008
06/07/2008,14:00,"Briggate at McDonalds	",1573,Sunday,27,June,2008
06/07/2008,15:00,"Briggate at McDonalds	",1413,Sunday,27,June,2008
06/07/2008,16:00,"Briggate at McDonalds	",982,Sunday,27,June,2008
06/07/2008,17:00,"Briggate at McDonalds	",554,Sunday,27,June,2008
06/07/2008,18:00,"Briggate at McDonalds	",414,Sunday,27,June,2008
06/07/2008,19:00,"Briggate at McDonalds	",191,Sunday,27,June,2008
06/07/2008,20:00,"Briggate at McDonalds	",172,Sunday,27,June,2008
06/07/2008,21:00,"Briggate at McDonalds	",145,Sunday,27,June,2008
06/07/2008,22:00,"Briggate at McDonalds	",193,Sunday,27,June,2008
06/07/2008,23:00,"Briggate at McDonalds	",79,Sunday,27,June,2008
07/07/2008,00:00,"Briggate at McDonalds	",48,Monday,28,July,2008
07/07/2008,01:00,"Briggate at McDonalds	",30,Monday,28,July,2008
07/07/2008,02:00,"Briggate at McDonalds	",18,Monday,28,July,2008
07/07/2008,03:00,"Briggate at McDonalds	",22,Monday,28,July,2008
07/07/2008,04:00,"Briggate at McDonalds	",11,Monday,28,July,2008
07/07/2008,05:00,"Briggate at McDonalds	",23,Monday,28,July,2008
07/07/2008,06:00,"Briggate at McDonalds	",104,Monday,28,July,2008
07/07/2008,07:00,"Briggate at McDonalds	",290,Monday,28,July,2008
07/07/2008,08:00,"Briggate at McDonalds	",562,Monday,28,July,2008
07/07/2008,09:00,"Briggate at McDonalds	",691,Monday,28,July,2008
07/07/2008,10:00,"Briggate at McDonalds	",1010,Monday,28,July,2008
07/07/2008,11:00,"Briggate at McDonalds	",1105,Monday,28,July,2008
07/07/2008,12:00,"Briggate at McDonalds	",1190,Monday,28,July,2008
07/07/2008,13:00,"Briggate at McDonalds	",1425,Monday,28,July,2008
07/07/2008,14:00,"Briggate at McDonalds	",1509,Monday,28,July,2008
07/07/2008,15:00,"Briggate at McDonalds	",1232,Monday,28,July,2008
07/07/2008,16:00,"Briggate at McDonalds	",1094,Monday,28,July,2008
